model,year,price,type,distance,fuel,tax,miles per galoon,size
11,2016,17998.0,2,50378.0,0,125.0,57.6,2.0
13,2019,39500.0,2,105.0,0,145.0,54.3,2.0
2,2019,26998.0,2,13268.0,0,145.0,48.7,2.0
4,2016,13600.0,0,65612.0,0,30.0,62.8,2.0
12,2019,27000.0,1,4825.0,0,145.0,49.6,2.0
12,2018,24490.0,2,7100.0,0,150.0,61.4,2.0
0,2013,14498.0,2,42786.0,3,235.0,37.7,3.0
3,2018,20998.0,2,23358.0,0,145.0,65.7,2.0
4,2016,18385.0,2,45356.0,0,160.0,51.4,3.0
12,2019,24500.0,2,10112.0,0,145.0,61.4,2.0
4,2018,22600.0,0,23195.0,0,145.0,65.7,2.0
14,2018,40000.0,2,4135.0,0,145.0,37.2,3.0
0,2013,10500.0,1,48255.0,0,30.0,62.8,2.0
2,2019,21898.0,2,5761.0,0,150.0,55.4,2.0
15,2019,50647.05545071274,2,10.0,0,150.0,37.7,3.0
2,2018,21998.0,2,14008.0,0,145.0,62.8,2.0
0,2017,14600.0,0,5615.0,3,145.0,58.9,1.5
10,2018,43500.0,2,2577.0,3,150.0,34.0,3.0
11,2016,16698.0,2,37272.0,3,160.0,44.8,2.0
2,2019,34000.0,2,4650.0,0,145.0,47.9,3.0
0,2019,18998.0,1,12250.0,0,150.0,70.6,1.5
11,2017,15200.0,0,36701.0,0,30.0,65.7,2.0
0,2019,26000.0,1,2073.0,0,145.0,57.7,1.5
12,2018,23900.0,2,12887.0,0,145.0,61.4,2.0
3,2018,16900.0,0,27133.0,3,145.0,44.8,2.0
0,2016,12498.0,1,22103.0,0,20.0,72.4,1.5
15,2019,50647.05545071274,2,10.0,0,145.0,37.7,3.0
6,2019,46898.0,2,7200.0,0,150.0,42.2,3.0
1,2017,13000.0,2,34971.0,0,150.0,72.4,1.5
14,2015,19485.0,1,53755.0,0,160.0,52.3,2.0
2,2019,32000.0,0,5557.0,0,145.0,49.6,2.0
3,2017,16600.0,0,46913.0,0,145.0,65.7,2.0
2,2014,11470.0,2,49500.0,0,30.0,62.8,2.0
0,2016,17898.0,1,26447.0,3,295.32841497346675,35.3,3.0
3,2020,28990.0,2,100.0,0,145.0,52.3,3.0
2,2015,13100.0,1,37204.0,0,30.0,64.2,2.0
4,2019,34900.0,2,9854.0,0,145.0,53.3,3.0
1,2019,20500.0,0,6679.0,3,145.0,47.9,2.0
11,2016,13700.0,1,52226.0,0,20.0,68.9,2.0
4,2016,17998.0,0,28695.0,0,145.0,53.3,3.0
2,2019,23298.0,2,10785.0,0,150.0,54.3,2.0
1,2017,16798.0,2,23843.0,0,145.0,64.2,2.0
2,2015,14450.0,0,47288.0,0,30.0,62.8,2.0
11,2016,18000.0,2,46354.0,0,125.0,57.6,2.0
10,2020,48000.0,2,30.0,3,145.0,34.0,3.0
14,2019,33998.0,2,9064.0,0,150.0,42.8,2.0
6,2019,42990.0,2,9931.0,0,145.0,44.1,3.0
15,2016,21000.0,0,71626.0,2,0.0,85.6,2.0
2,2020,50647.05545071274,2,5000.0,0,150.0,43.5,3.0
0,2017,21514.0,2,15907.0,3,150.0,39.8,3.0
10,2016,31498.0,2,21107.0,3,295.32841497346675,34.0,3.0
1,2016,21490.0,2,20348.0,3,200.0,39.8,3.0
2,2017,15998.0,2,15931.0,3,125.0,51.4,2.0
2,2016,12200.0,1,34842.0,0,30.0,67.3,2.0
15,2017,34990.0,0,18000.0,0,200.0,47.1,3.0
1,2019,24000.0,0,477.0,3,145.0,47.9,2.0
14,2019,33998.0,2,7272.0,0,150.0,42.8,2.0
4,2017,22998.0,2,20033.0,0,150.0,65.7,2.0
11,2017,17900.0,1,34625.0,0,150.0,60.1,2.0
1,2016,14498.0,1,16735.0,0,20.0,74.3,1.5
2,2017,15400.0,0,20529.0,0,145.0,65.7,2.0
16,2018,39990.0,2,7427.0,0,145.0,40.9,3.0
0,2019,21000.0,1,1906.0,3,145.0,44.1,1.5
4,2019,25998.0,2,11115.0,0,145.0,65.7,2.0
13,2019,36900.0,2,2367.0,0,145.0,54.3,2.0
1,2019,20498.0,2,6195.0,3,145.0,47.9,2.0
0,2016,11700.0,1,21390.0,0,20.0,72.4,1.5
3,2019,27000.0,2,4406.0,0,145.0,60.1,2.0
11,2014,12490.0,2,49400.0,0,165.0,51.4,2.0
0,2015,10998.0,1,42410.0,0,30.0,65.7,2.0
2,2016,13998.0,2,66362.0,0,30.0,62.8,2.0
3,2018,21840.0,2,10291.0,0,150.0,65.7,2.0
14,2019,35490.0,2,6250.0,0,145.0,42.8,2.0
0,2017,13200.0,1,17117.0,3,145.0,53.3,1.5
0,2019,27000.0,2,1214.0,0,145.0,51.4,2.0
2,2013,15000.0,2,21940.0,0,125.0,58.9,2.0
0,2017,11498.0,2,47110.0,0,0.0,78.5,1.5
11,2017,17790.0,2,36885.0,0,125.0,60.1,2.0
0,2016,18498.0,2,36523.0,3,205.0,39.8,3.0
2,2017,12600.0,0,55751.0,3,150.0,51.4,1.5
1,2015,18700.0,2,43617.0,3,265.0,37.2,3.0
2,2019,27998.0,2,4250.0,0,145.0,48.7,2.0
4,2019,29000.0,2,4727.0,0,145.0,62.8,2.0
0,2019,21898.0,1,4100.0,3,150.0,41.5,1.5
0,2017,14500.0,0,27245.0,0,145.0,68.9,2.0
4,2019,27000.0,2,9000.0,3,145.0,48.7,2.0
11,2017,16998.0,2,46622.0,0,125.0,57.6,2.0
0,2014,15000.0,2,38689.0,3,235.0,37.7,3.0
1,2017,15998.0,1,12248.0,3,125.0,53.3,1.5
11,2014,9998.0,2,68647.0,0,160.0,52.3,2.0
1,2019,22000.0,1,2560.0,3,145.0,52.3,1.5
